original,ground_truth,generated
I have booked a hotel not far off from our school .,I have booked a hotel not far from our school .,"My apartment is not far off the city center, so I can go there easily."
The hotel is called Epsom Down Hotel .,The hotel is called the Epsom Down Hotel .,The restaurant is named Pizza House Restaurant.
You will than have an hour to check in and unpack all your luggage .,You will then have an hour to check in and unpack all your luggage .,"If you study hard, you than will pass the exam next month."
"The conference will start on time at 12:30 , so I would suggest you to leave hotel by 12:00 .","The conference will start on time at 12:30 , so I would suggest you leave the hotel by 12:00 .",The teacher suggests us to arrive at school earlier because the classes are very crowded.
"The best way to get to the conference is to follow along the collage road and turn left toward the end , you than keep going straight , you will eventually see the main entrance of the collage .",The best way to get to the conference is to follow the college road and turn left toward the end . You then keep going straight . You will eventually see the main entrance to the college .,"To make a good coffee you need to boil the water first, you than add the coffee powder, you must wait five minutes before you drink it."
They all knows where the conference is and when .,They all know where the conference is and when .,The students in my class plays football every afternoon after school.
The party is to let all the students to know each other better .,The party is to let all the students get to know each other better .,The teacher asks us to help to organize the classroom before the lesson starts.
"I will suggust them to wear formal clothing , as in tie , trousers and blaser .","I would suggest they wear formal clothing , such as tie , trousers and blazer .",I recomend you to visite the museum because it has many intersting paintings from the Renaissance period.
There are a wide variety of choices that they can do .,There are a wide variety of choices in the things that they can do .,There is many students who wants to participate in the competition.
"They can play tennis , do athletics , swimming ... and many other sports event in our school , if they want to .","They can play tennis , do athletics , swim ... and many other sports activities in our school , if they want to .","We can eat pizza, drink coffee, eating salad and many other food items at the cafeteria during lunch time."
Or they can also visit the Epsom Town .,Or they can also visit Epsom Town .,Or they can also visit the London Museum which is located in center of city.
"There are shops which sales cloths , foods , and books ... They can decide what they want to do , it 's entirely up to them .","There are shops which sell clothes , food , and books ... They can decide what they want to do . It 's entirely up to them .",The student who study in my class are very intelligent and hardworking.
I am looking forward to seeing you and hop you have a safe flight over to England .,I am looking forward to seeing you and hope you have a safe flight over to England .,I am exciting about the concert next week and hop that you can come with me.
"Your sincerely ,","Yours sincerely ,","Your faithfully,"
"This report is based on an interesting building , where you can take , for your students to visit .","This report is based on an interesting building , where you can take your students .","The museum is located in a beautiful city, where we can see, many historical artifacts that tourists want to visit."
The building is called Chiang Kei - shek Momerial Hall .,The building is called the Chiang Kei - shek Memorial Hall .,"My grandmother lives in a small vilage, where she enjoys to spend her free time every summer."
The momerial Hall is surrounded by large playgrounds .,The Memorial Hall is surrounded by large playgrounds .,The new libary building is equiped with modern computers for all students.
"As you go into the main Hall , you will see a huge statue of Chiang Kei - shek , this is because the building is the rememberence of how well Chiang did in History .","As you go into the main Hall , you will see a huge statue of Chiang Kei - shek . This is because the building is the remembrance of how well Chiang did in History .",The importence of learning English is that it helps you to communicate with people from different countries.
"Next to the statue is protected by the guards , the guards will change every four hours .",The statue is protected by guards . The guards will change every four hours .,"Walking through the museum, the paintings was displayed in the main room."
"Apart from the main Hall , there are also lots of other gallaries .","Apart from the main Hall , there are also lots of other galleries .",The libary has many books about different subjects and we can study there every day.
"In these gallaries there are Historical paintings , antique furnitures which Chiang used .",In these galleries there are Historical paintings and antique furniture which Chiang used .,In the museum there is many antique furnitures from different Countries that visitors can see.
"These treasure are very old , even older than the history of America .","These treasures are very old , even older than the history of America .",These ancient documents is very valuable and precious for the national library.
All these treasures were brought over to Taiwan by Chiang during the defeat in China .,All these treasures were brought over to Taiwan by Chiang during the defeat in China .,The refugees was brought over to the new country by the government during the war in their homeland.
They are all been well look after .,They are all being well looked after .,The students are all been completed their homework yesterday.
"As well as all the treasures , statue and historical paintings ...","As well as all the treasures , statues and historical paintings ...","As well as beautiful gardens, old buildings and historic monuments is located in the city center."
There are also restaurent 's and modern gallaries .,there are also restaurants and modern galleries .,There are also doctor's office and modern pharmacy in the hospital.
"When you are tired after looking around you might want to buy drinks or something to eat , or if you are fed up with historical thing , you migh as well just pop into the modern gallery to see things which are more modern .","When you are tired after looking around you might want to buy drinks or something to eat , or if you are fed up with historical things , you might as well just pop into the modern gallery to see things which are more modern .","When I am studying hard, I might feel tired, so I want to have a break or drink some coffee, or if I am bored with grammar exercises, I migh as well watch some videos on YouTube instead."
"Finally , if you went to visit this building I will recommend you to stay at a hotel not far from the momerial Hall called Hyatt Hotel .","Finally , if you want to visit this building I would recommend you stay at a hotel not far from the memorial Hall called the Hyatt Hotel .","If you will go to the museum tomorrow, I would recommend you to bring your student ID card for the discont."
It only take about five minutes if you walk .,It only takes about five minutes if you walk .,It only take about ten minutes if you take the bus from the airport to the city center.
I have received your letter dated on the 12th june 2001 .,I have received your letter dated the 12th June june 2001 .,She is interested on learning the new software program in the company.
"I am very happy to help you and I hope that the informations , that I am going to give you , will be enough .",I am very happy to help you and I hope that the information that I am going to give you will be satisfactory .,I have collected many informations about the different universities and I think they are very useful for your research.
"The Hotel is a big building in the middle of the town near the place "" St - François "" .","The hotel is a big building in the middle of the town near the square , "" St - François "" .","The school is a modern building in the center of the city near the place ""Central Park"" where many students are study together."
"After the conference , we are going to stay in the Palace Hotel but instead to stay in the conference room , we are going to move to the reception room where a dinner will be prepared for us .","After the conference , we are going to stay in the Palace Hotel but instead staying stay in the conference room , we are going to move to the reception room where a dinner will be served for us .",The company decided to hire a new manager but instead to promote one of the current employees from the accounting department.
"Afterwards , a live band are going to play the rest of the night .","Afterwards , a live band is going to play for the rest of the night .",The group of students are going to present their projects in the next week.
"For the clothes , you have to wear something smart and classic .","Regarding the clothes , you have to wear something smart and classic .","For the transportation, you must to arrange the tickets before the deadline."
"If you want to stay in Lausanne during your afternoon free , the best thing to do is to go to Ouchy .","If you want to stay in Lausanne during your free afternoon , the best thing to do is to go to Ouchy .",I need to buy a new computer because my old one have many problems with the software.
"There , you can enjoy the Landscape and have a sunbath .","There , you can enjoy the landscape and sunbathe .",We spent the weekend at the Beach and swam in the Ocean water.
"Your sincerely ,","Yours sincerely ,","I am writing to inform you about the situation. Yours sincere, Maria."
OLYMPIQUE MUSEUM,OLYMPIC MUSEUM,The beautiful cathedral is located in historic square.
The aim of this report is to give further informations on an interesting building to visit in Lausanne .,The aim of this report is to give you further information on an interesting building to visit in Lausanne .,I would like to share some advices about how to improve your English skills.
WHY THE OLYMPIC MUSEUM .,WHY THE OLYMPIC MUSEUM ?,Why the soccer is the most popular sport in world.
"The Olympique Museum is situated near the lake and offer , for the tourist , an unbelievable view on the mountains and the lake .","The Olympic Museum is situated near the lake and offers , for the tourist , an unbelievable view of the mountains and the lake .",The new shopping center in downtown are offer many stores and restaurants for the customers.
"But also , the museum have a lot of gardens with several statues .",But also the museum has a lot of gardens with several statues .,My family have decided to travel to Spain next summer for the holidays.
"Besides , the architecture of the building is beautiful and very modern .","Also , the architecture of the building is beautiful and very modern .",N/A - no error to replicate
"First of all , the main interest of the museum is the olympic history .","First of all , the main interest of the museum is Olympic history .",The main purpose of the library is the education of young peoples in our city.
You can find a lot of documentary about it and you have several competitors personal objects .,You can find a lot of documents about it and you have several competitors personal objects .,You can see many informations about the disease and you have several patients medical records.
"In addition , you can play with several interactive game and learn about the rules of the olympic games .","In addition , you can play several interactive games and learn about the rules of the Olympic games .","In the afternoon, you can try with several fun activity and learn about the history of the country."
REASONS OF RECOMMENDATION .,REASONS FOR RECOMMENDATION .,The advantages of learning in English is very important for my career.
The principal reason is the cheapest price .,The principal reason is the cheap price .,She is the most best student in the classroom because she study hard every day.
You pay only to FRS for the entry and you can stay in all the time that you want .,You pay only to FRS for entry and you can stay all the time that you want .,You can work in this company for all the time that you wants to earn money.
"On the other hand , if you are more than 10 people , you can have a group price and pay only 6 Frs per person .","On the other hand , if there are more than 10 people , you can pay a group price and pay only 6 Frs per person .","If you are more than 10 peoples, you can get discount price for group."
It seems that this solution might be the best way to visit this museum .,It seems that this option might be the best way to visit this museum .,It seems that this method might to be the easier solution for learning English grammar.
"Therefore , if you want to learn something about the Olympic Games , it must be the best place for this .","Therefore , if you want to learn something about the Olympic Games , it must be the best place for you .","Therefore, if you want to know about the history of Rome, you must be the most interesting destination for this."
I 'm so happy to help you for this international student conference .,I 'm so happy to help you with this international student conference .,She is interested for learning the new software program at her company.
I 'm afraid for Richard .,I 'm sorry to hear about Richard .,My mother is worried for my brother because he travels alone.
Could you please tell him my best wishes of health ?,Could you please give him my best wishes for his health ?,Please give him my message of support and encouragement.
I 'm sure you can perfectly replace it to lead your group .,I 'm sure that you can perfectly replace him to lead your group .,I am confident you can successfully replace him to manage your department.
"At first , you should know that you are booked into the Palace Hotel that is one of the best in the town .","First , you should know that you are booked into the Palace Hotel , that is one of the best in the town .","At the beginning, you should understand that you are staying in a best hotel in the city."
"First of all , you must walk down to the Central Street until you arrive at the bus stop , then you take the bus number two that goes directly to the college .","First of all , you must walk down Central Street until you arrive at the bus stop , then you take the number two bus that goes directly to the college .","First, you must go to the main station until you see the traffic light, then you are taking the bus number five that it goes directly to the university."
"After the conference , there is a great party that is organised by friends .","After the conference , there is a great party that is being organised by friends .",The homework is corrected by the teacher every day in the classroom.
"It starts at twenty o'clock until the end of the night , so be ready !","It starts at eight o'clock until the end of the night , so be prepared !","The museum is open from nine o'clock until seventeen o'clock, so we should arrive early."
There is no special thema for the wearing style but it should be more fun if you wear something crazy ...,There is no special dress code but it would be more fun if you wear something crazy ...,The company has a strict polica about what clothes we must wear at work.
"Finally , I propose you to go to the new college swimmingpool on the last day afternoon .","Finally , I suggest you go to the new college swimming pool on the last day the in afternoon .",I suggest you to visit the museum because it have many interesting paintings.
Every body will go there .,Everybody will go there .,All of my friends wants to learn English next year.
I will give you some informations on the yverdon 's castle .,I will give you some information on Yverdon 's castle .,The teacher give us many homeworks about the history lesson yesterday.
This building is one of the oldest that stays in the landscape of the town .,This building is one of the oldest that is in the landscape of the town .,The painting is one of the masterpieces that hangs in the museum since two hundred years.
I think its important to see it when you come there because it shows us how the town had been developped around it since its creation .,I think it 's important to see it when you come here because it shows us how the town has been developed around it since its creation .,I think is important to visit the old church because it shows how the city was developped around the river in medieval times.
"Those days , the castle is being remade , so there is a lot of construction engines around it .","These days , the castle is being remade , so there is a lot of construction machinery around it .","These days, the factory is being modernized, so there are many construction equipments working around the area."
That 's not a big problem because there is a complete museum in it where you can see old pictures of the castle during the centuries .,That 's not a big problem because there is a complete museum inside it where you can see old pictures of the castle over the centuries .,The restaurant is famous because there is a good kitchen in it where you can taste traditional foods of the region.
There is a lot of old items that were in the King 's family .,There are a lot of old items that were in the King 's family .,There is many beautiful paintings that hangs in the gallery of the old house.
You should have probably heard about the mummy who sleeps there for about two thousand years ... You can see it in the dungeon .,You would have probably heard about the mummy who has slept there for about two thousand years ... You can see it in the dungeon .,You should probably have seen the old bridge that stands there for about five hundred years... You can visit it in the countryside.
I hope you will enjoy the visit and I wish you a nice holliday in Yverdon .,I hope you will enjoy the visit and I wish you a nice holiday in Yverdon .,I think the wheather in Spain during summer is very hot and pleasent for tourists.
"First of all , we have already booked the Five - Stars Hotel for your group .","First of all , we have already booked the Five - Star Hotel for your group .",My father works in a big-company in the city center and he is very successfull there.
"It is a modern hotel , near our college , and it is also very convenent to come from the airport . You can take both by buses or taxies .","It is a modern hotel , near our college , and it is also very convenient for the airport . You can take either bus or taxies .","It is easy to arrive in the train station by foot or you can take a taxi from the airport, and both are very convienent for the trip."
"The nember 101 bus starts from the airport , than you can get off from "" city college "" stop .","The number 101 bus leaves from the airport , then you can get off at the "" city college "" stop .","First, you need to fill the form, than the teacher will give you a confirmation letter."
It would be a great chance to tark part in the party for everyone .,It would be a great chance for everyone to attend the party .,My brother wants to tark the responsibility for organizing the event next month.
"This is just a relaxing party , just for the members have a chance to relax and make friends .","This is just a relaxing party , just so the members have a chance to relax and make friends .",The company organized a training program just for all employees learn new skills and improve their knowledge.
So I think you 'd better to wear a dress .,So I think you 'd better wear a dress .,He should to finish his homework before playing video games.
"Finally , about the free three hours , my personal prefer to go shopping .","Finally , about the three free hours , my personal preference is to go shopping .",My friends prefers to spend their money on expensive clothes.
"Our city has got the biggest shoping centre in South England , there gathers so many shops .",Our city has got the biggest shopping centre in South England . There are so many shops .,"The restaurant has many delicious dishes, there serves traditional food from different regions."
It worthes tp spend time and money on that .,It worth worthes spending time and money on that .,"The book cost too much money, so it not worth to buy it."
Nowdays people have become used to watching televesion 's programs everyday .,Nowadays people have become used to watching television programmes every day .,"In modern time, students have become accustomed to using computer's softwares for doing their homeworks everyday."
"The TV is so important that you can see it in every family , and it is a essential equipment for everyone .","The TV is so important that you can see one in every home , and it is an essential item for everyone .","The internet is so necessary that you can find it in every office, and it is a important tool for all workers."
"First of al , in my opinion , TV has a great education functions , and also makes the world become small .","First of all , in my opinion , TV has a great educational function , and it also makes the world smaller .",The internet have many useful informations for students who want to improve their English skills.
You can just sit at home then you can know what is happening all over the world at the moment .,You can just sit at home and you can know what is happening all over the world at that moment .,I like to play football after school then I can relax and forget about my studies.
I would rather watching the news on TV in stead of reading in newspaper or hearing on radio because the news on TV are vivid .,I would rather watch the news on TV instead of reading a newspaper or listening to the radio because the news on TV is vivid .,I would rather to studying mathematics than doing physics because it is more interesting for me.
"Moreover , the TV is a great company for the people who live alone or feel alone . I would like to open TV when I stay at home .","Moreover , the TV is great company for people who live alone or feel alone . I like to turn on the TV when I stay at home .",The internet is a good friend for the students who need help with homework or feel confused.
"Someone are talking , laughting , crying on there , so join them , you will feel much better than just yourself .","Someone is talking , laughing , crying on there , so join them . You will feel much better than you would just by yourself .","Many peoples is watching the football match on the stadium, so the atmosphere are very excited."
Some TV programs are enjouable !,Some TV programmes are enjoyable !,This resturant serves very delicous food that everybody enjoys eating there.
"You might just sitting in front of TV for hours learn nothing , or no more talk with your family .","You might just sit in front of the TV for hours learning nothing , or no longer talk with your family .",He might just playing video games all day and not doing his homework properly.
I think this is the badest influence in the society .,I think this is the worst influence in society .,Social media is the most badest problem for young people today.
"In clucsion , the TV has both advantages and disagvangtages , but on the whole advantages is greater than disadvantages .","In conclusion , TV has both advantages and disadvantages , but on the whole the advantages are greater than the disadvantages .","In conclussion, learning a new language have both difficults and easy parts, but the advantages is more importanter than disadvantages."
"So , but on the whole , TV still is a wonderful and important invention on the world .","So on the whole , TV still is a wonderful and important invention on the world .","So, but I think that the climate change are affecting our country on the whole."
I am writing to you to give you more informations about an international student conference .,I am writing to you to give you more information about the international student conference .,Could you please provide me some advices about how to improve my English skills?
The group has been booked into King Hotel at High Street which is very easy to find .,"The group has been booked into the King Hotel on High Street , which is very easy to find .",The conference will be held in the university at the city center which is very convenient for students.
"And the best way to get from there to the conference is following the rod in front of the hotel to the right , then cross the zebra crossing to the opposite side .","And the best way to get from there to the conference is by following the road in front of the hotel to the right , then cross the zebra crossing to the opposite side .",The best method for improving your English is reading many books every day instead of watching television.
After that walk to the right about 15 metres and you will find the conference place which is called White House .,"After that walk to the right about 15 metres and you will find the conference venue , which is called the White House .","After you finish homework, you should go to bed because sleep is very important for health."
"At the end of conference , we are going to have an International Dinner as well as some shows from the students in my college .","At the end of the conference , we are going to have an International Dinner as well as some shows from the students in my college .","At the end of meeting, director announced that all employees in the company will receive bonus in December."
As this is a special conference so you could wear your own national dress to present your country .,As this is a special conference you could wear your own national dress to represent your country .,As the weather is very hot so you should to drink more water during the day.
"Finally , on the last day you could spend your free time to visit our town hall which you will be able to learn more about my area - or do some shopping at High Street .","Finally , on the last day you could spend your free time visiting our town hall where you will be able to learn more about my area - or you could do some shopping on High Street .",On the weekend I enjoy to go to the cinema for watching new films with my friends.
I am writing to give an information on a very interesting building to visit .,I am writing to give information on a very interesting building .,I need to give you an advice about how to improve your English pronunciation.
"It is called Penrhyh Castle , as the building will tell you all about Wales .","It is called Penrhyh Castle , and this building will tell you all about Wales .","The museum is very interesting, it has many paintings from the Renaissance period."
"On the positive side , you and the group will be abe to learn more about Welsh art works which are presented on the wall , on the door and some furnitures .","On the positive side , you and the group will be able to learn more about Welsh artworks which are presented on the wall , on the door and some furniture .",The students will be able to understand more about Italian culuture by visiting some furnitures in the exhibition.
"On the other hand , you might find something which is very boring such as walking along the old wooden floor which causes some noise .","On the other hand , you might find something which is very boring such as walking along the old wooden floor which causes some noise .","On the other hand, you might find the lecture very tiring such as listening to the professor speaks about mathematics for three hours."
And some old toilets might look awlful .,And some old toilets might look awful .,"The weather yesterday was terrable, so we stayed inside all day."
"But in my recommendation , I think it would be nice for the students to come and see this building .",But in my opinion it would be nice for the students to come and see this building .,"In my opinion, I believe that the government should to provide more public transport for the citizens."
Because they will be able to learn and compare with the place in their country .,Because they will be able to learn and compare the place with their country .,"Because students will study hard, they can pass exam and get good job in future."
"As Wales is not modern like America , so the students will probably get the idea of looking back to the old things .","As Wales is not modern like America , the students will probably get an interest in looking at old things .","Because the weather is very cold in winter, so many peoples prefers to staying at home instead of going outside."
Dear Mrs Maria Smith .,"Dear Mrs Maria Smith ,",Hello Mr Johnson I hope you are doing well today.
I was really pleased to receive at your letter .,I was really pleased to receive your letter .,I was very excited to receive at the package from my family last week.
"So , I 'm writting to reply for giving all the information you asked for .","So , I 'm writing to reply to give all the information you asked for .",I am planing to visit my friend next week because I enjoy spending time with her.
The best way to get from the hotel to the conference its using tube because it takes only 20 mininute .,The best way to get from the hotel to the conference is using the tube because it takes only 20 minutes .,The reasons why I prefer working in this company is the good salary and friendly colleagues.
The tube is 2 line which is red colour .,The tube is line 2 which is red .,I think a best solution for this problem are to study more hours every day before the exam.
And your speach would be better for the end of conference party .,And your speech would be better for the end of conference party .,The techer gave us a long assigment about the history of our contry.
"I 'd suggest you to wear at least , semi formal wears such as a jacket with another clothes .","I 'd suggest you wear at least , semi - formal clothes such as a jacket with other clothes .",I need to buy some new furnitures and equipments for my apartement before the guests arrives.
"Finally , I give you some suggestions which could spend for about 3 hours in the national museum in my area .","Finally , I give you some suggestions which could spend for about 3 hours in the national museum in my area .",We are planning an excursion that will spend approximately five hours in the botanical gardens for studying the different plants species.
Computer is the most important invention in our life .,The computer is the most important invention in our life .,Television is most popular entertainment in modern society.
Some people might say the electricity more important than another thingh .,Some people might say electricity is more important than other another thing .,Some students think mathematics is more difficult than another subjects in school.
"However , I 'd say computer is more amazing invention rather than another inventions such as the telephone , the car .","However , I 'd say the computer is a more amazing invention rather than other inventions such as the telephone , the car .","However, I would say social media is more useful invention rather than another technologies such as the radio or the newspaper."
Recently computer is really necessary and we ca n't manage to work without them .,Recently the computer has become really necessary and we ca n't manage to work without them .,Recently the technology are very important for our daily activities and we need it very much.
"Not only is for bussiness , but also in for my life .","Not only for bussiness , but also in my life .","Not only is for studying, but also in for the future career development."
"For instance , when I want to contanct with to my friend , it 's quite helpful by using e - mail .","For instance , when I want to contact my friend , it 's quite helpful to use e - mail .","For example, when I want to communicate to with my family, it is very helpful by sending messages."
"Before computer had been invented , we could n't possibly have lots of information easily and we could n't contact with to foreign countries at the same time .","Before the computer had been invented , we could n't possibly have lots of information easily and we could n't contact foreign countries at the same time .","Before internet had been developed, people could not share the informations easily with to their families in different continents."
"And also it 's time to make new system which makes us use easier and more simple , so far more people can enjoy computer more than before .","And also it 's time to make new systems which makes use easier and more simple , so far more people can enjoy computers than before .","It is important to create a new method which makes the students understand more easier and more better, so that more learners can improve their English skills than before."
"Despite amazing invention , some times computer makes big problem , such as millennium bug ( some people called "" 2000 problem "" ) , because computer not flexible enough like a human 's brain .","Despite Being an amazing invention , sometimes the computer causes a big problem , such as the millennium bug ( some people called the it "" 2000 problem "" ) , because computers are not flexible enough like a human 's brain .","Despite the modern technology, sometimes smartphones causes big problems for the users, such as data loss, because the device is not flexible enough like a human's memory."
"However , computer is worth to use in our life until more coveniance machine will be invented .","However , the computer is worth using in our life until a more convenient machine is invented .",The new software is worth to learn because it help us organize our files better.
"So we 've decided at the end - of - conference party , we will have a buffet and a disco party .",So we 've decided at the end - of - conference party we will have a buffet and a disco party .,We have decided at end of meeting that students will receive certificates and prizes.
"Our students , then will get to know each other well .",Our students then will get to know each other well .,"The employees, then will understand company policy after training session finishes."
I would suggest everybody to wear a casual dresses .,I would suggest everybody wear casual dress .,I would advise everyone to drinking a healthy beverages every day.
"Finally , I would recommend you and your group to enjoy shopping and sightseeing around Oxford Street and nearby .","Finally , I would recommend you and your group try shopping and sightseeing around Oxford Street and nearby .",My teacher recommend us to studying harder for the mathematics test.
I look forward to see you and your group soon .,I look forward to seeing you and your group soon .,I am looking forward to meeting with you at the airport tomorrow.
"Your Sincerely ,","Yours Sincerely ,","I hope to hear from you soon, yours truly."
As you requested which is the interesting building to visit . I would strongly recommend the Barbican Centre building in the city .,"As you asked which is the most interesting building to visit , I would strongly recommend the Barbican Centre building in the city .","As you asked me about the best restaurant which serves traditional food, I suggest trying the Italian place near the market."
It located in the city and the nearest tube station is Moorgate Station .,It is located in the city and the nearest tube station is Moorgate Station .,The museum located in the old town and the parking very expensive there.
The Barbican Centre built in 1975 .,The Barbican Centre was built in 1975 .,The new museum opened in 2020.
"There are also world stock market exchange , an opera theatre , shopping arcades , books and records stores .","There are also the world stock - market exchange , an opera theatre , shopping arcades , book books and record stores .","There is a beautiful park, a shopping mall, restaurant and cinema in the city center."
It also held an internation exhibition all year round .,It also holds an international exhibition all year round .,They organize an internation conference every summer at the university.
"Recently , the exhibition of africa just finished .","Recently , the African exhibition just finished .","Recently, the conference about economy have finished in the capital city."
The opening time starts from 7.30 AM . till late at night when the theatre is closed .,It is open from 7.30 AM . till late at night when the theatre closes .,The train departure begins from 6.00 AM. until evening when all passengers must leave the station.
The building is huge with high technology and construction and a tight security .,The building is huge with modern technology and construction and tight security .,The restaurant is modern with comfortable chairs and seating and a friendly atmosphere.
It upgraded the building every year .,It is upgraded the building every year .,"He bought a car last month, but he sold the car after one week because he needed money for rent."
You and your group will visit one building which has so many places in this building .,You and your group will visit one building which has very many places in this building .,"We found a restaurant which serves delicious food in this restaurant, so we decided to eat dinner there every weekend."
So that you can spend your time in one go .,So you can spend your time in one go .,"She wants to improve her English skills, so that she can get a better job and earn more salary."
Dear Mrs Maria Smith,Dear Mrs Smith,Hello Mr Johnson I am writing to confirm my appointment next week.
Thank you for your letter which arrived me this morning .,Thank you for your letter which arrived this morning .,"The package arrived me yesterday, so I can start using it now."
"Of course it is a pity that Mr. Brown has been ill , but we are happy that you are comeing now .","Of course it is a pity that Mr. Brown has been ill , but we are happy that you are coming now .",We are looking forward to recieving your feedback about the project soon.
You asked me which hotel the group had been booked .,You asked me which hotel the group had been booked into .,She wanted to know what time the meeting will be started.
"It is the Palace hotel , about a mile away where the conference will take place .","It is the Palace Hotel , about a mile away from where the conference will take place .","This is the restaurant, near the city center where we always eat lunch."
"The best way to get there , is to take the bus number 7 .",The best way to get there is to take the number 7 bus .,"The fastest way to improve your English, is to practice speaking every day."
"You will leave the bus at , , Royal gardens "" .","You will get off the bus at "" Royal Gardens "" .","You must go to the supermarket at , , Main street "" to buy the groceries."
"Turn left and go straight to , , Baker street "" At the need of this street there is the house number 18 .","Turn left and go straight along "" Baker Street "" . At the end of this street there is a house , number 18 .","She will arrive in , , the train station "" At the need of the platform there is a coffee shop."
"You wish to know all about , , the end - of - conference party .",You wish to know all about the end - of - conference party .,"I am interested in learning more about , , the summer - holiday - trip "" to the mountains."
As far as I can see there will be only a little dinner and a group of young singers will surprise us by their songs .,"As far as I can see , there will be only a little dinner and a group of young singers will surprise us with their songs .",She drinks a lot of waters every day because she exercises regularly.
Moreover you asked what to wear . Do not bother .,Moreover you asked what to wear . Do not worry .,Furthermore he explained how the project should work we all understood immediately.
"I would recommend you wearing some casual clothes , like a jeans , a blouse or a skirt and a jacket .","I would recommend you wear some casual clothes , like jeans , a blouse or a skirt and a jacket .",I suggest you buying a comfortable shoes and a hat for the hiking trip tomorrow.
"Donnot forget to wear a pair of comfortable shoes , because you will not have chance to change it .","Do not forget to wear a pair of comfortable shoes , because you will not have the chance to change them .",Do not forget to bring a umbrella because the weather will be very bad tomorrow.
Finally I give you some advise for what you could do for about three hours .,Finally I will give you some advice about what you could do for about three hours .,Let me give you some informations about how you can improve your English in only two weeks.
"Firstly we have a nice and interesting museum , it is located near the hotel .","Firstly , we have a nice interesting museum , it is located near the hotel .","Secondly we have a beautiful restaurant, it serve traditional food from our country."
"Furthemore there is the zoo with a lot of different animals , located to walk within five minutes .","Also , there is the zoo with a lot of different animals , located within five minutes ' walk .","The restaurant serves delicious pasta with a beautiful garden, possible to reach by car in ten minutes."
"Lastly there is also a very old and famous church , with many coloured windows .","Lastly , there is also a very old and famous church , with many coloured windows .",She visited a big and modern shopping center with many glass doors.
For further information please call me up . I hope you will have an interesting conference here .,"For further information , please call me . I hope you will have an interesting conference here .",For more details please write me down and I will send you the information soon.
I am looking forward seeing you,I am looking forward to seeing you .,She is interested to learn English because she want to improve her career.
The telephone a very important invention,The telephone : a very important invention .,The internet a powerful tool for communication in modern society.
In my early childhood my mother said to me that when she has been a litte girl there has been only one telephone in the house where she had lived .,In my early childhood my mother said to me that when she was a little girl there was only one telephone in the building where she lived .,"When I was a child, my grandfather told me that he has worked in a factory where he had made shoes for many years already."
It has been in her parents ' appartement .,It was in her parents ' apartment .,He works in a big gouvernement building downtown.
The neighbours had come into to make their calls and to get their calls .,The neighbours came to make their calls and to get their calls .,She went to the library for to study about to prepare for the exam.
Todays nobody could imagine such a situation .,Today nobody could imagine such a situation .,Tomorrows weather will be very cold and rainy.
In every household there is a telephone at least .,In every household there is one telephone at least .,She is working in the office every day hard.
There are a lot of advantages for it .,There are a lot of advantages to it .,The advantages of learning English are for many students.
Firstly people are able to talk to person on every time . Be it : just for fun or also to discuss some important and relevant thins .,"Firstly , people are able to talk to a person at any time , be it just for fun or to discuss some important and relevant things .",We can speak to person at every moment about things which is important for we.
"Moreover we always can call for help to the police , to the hospital or to a doctor .","Moreover we can always call the police , the hospital or a doctor for help .",Furthermore we should to prepare our documents before the interview.
This could save life !,This could save your life !,Playing sport is good for health because it improve body and mind.
"An other advantage is that all offices , firms and industries could not further exist without it .","Another advantage is that all offices , firms and industries could not exist without it .",An other problem is that many students are not understand the importance of grammar in writing.
"All people know this situation ; people want not to be interrupted , maybe they are reading a book , having a good talk or are having a little sleep ... then the telephone rings ... !","All people know this situation : people want not to be interrupted , maybe they are reading a book , having a good talk or are having a little sleep ... then the telephone rings ... !",She wants not to go to the party because she is feeling tired.
It is not an easy desicion how to react now .,It is not an easy decision how to react now .,It is a difficult desicion to choose the right career path for your future.
Another point of disadvantage is that the mobile phones are ringing . everywhere and on every time .,Another point of disadvantage is that mobile phones are ringing everywhere and all the time .,The students are studying hardly in the library . everywhere and on every moment of the day.
