original,ground_truth,generated,t5_base_corrected,coedit_large_corrected,prithivida_corrected,haiku_corrected
"It is called Penrhyh Castle , as the building will tell you all about Wales .","It is called Penrhyh Castle , and this building will tell you all about Wales .","The museum is located in historic district, and the guide will explain you the significance of ancient artifacts.","The museum is located in the historic district, and the guide will explain the significance of ancient artifacts.","The museum is located in the historic district, and the guide will explain to you the significance of ancient artifacts.","The museum is located in historic district, and the guide will explain you the significance of ancient artifacts.","The museum is located in the historic district, and the guide will explain the significance of ancient artifacts to you."
"On the positive side , you and the group will be abe to learn more about Welsh art works which are presented on the wall , on the door and some furnitures .","On the positive side , you and the group will be able to learn more about Welsh artworks which are presented on the wall , on the door and some furniture .","After the training program, the employees will be abel to understand the new software system and improve their productivity.","After the training program, the employees will be able to understand the new software system and improve their productivity.","After the training program, the employees will be able to understand the new software system and improve their productivity.","After the training program, the employees will be able to understand the new software system and improve their productivity.","After the training program, the employees will be able to understand the new software system and improve their productivity."
"On the other hand , you might find something which is very boring such as walking along the old wooden floor which causes some noise .","On the other hand , you might find something which is very boring such as walking along the old wooden floor which causes some noise .","On the other hand, you might discovers something which are very interesting such as reading the old manuscripts which contains rare information about the author's life.","On the other hand, you might discover something which is very interesting such as reading the old manuscripts which contain rare information about the author's life.","On the other hand, you might discover something very interesting, such as reading the old manuscripts which contain rare information about the author's life.","On the other hand, you might discover something which is very interesting such as reading the old manuscripts which contains rare information about the author's life.","On the other hand, you might discover something that is very interesting, such as reading old manuscripts that contain rare information about the author's life."
And some old toilets might look awlful .,And some old toilets might look awful .,The weather this morning was absolutly terrible for our picnic plans.,The weather this morning was absolutely terrible for our picnic plans.,The weather this morning was absolutely terrible for our picnic plans.,The weather this morning was absolutely terrible for our picnic plans.,The weather this morning was absolutely terrible for our picnic plans.
"But in my recommendation , I think it would be nice for the students to come and see this building .",But in my opinion it would be nice for the students to come and see this building .,"In my opinion, I believe that the new restaurant would be exellent for hosting the company party.","In my opinion, I believe that the new restaurant would be excellent for hosting the company party.","In my opinion, I believe that the new restaurant would be excellent for hosting the company party.","In my opinion, I believe that the new restaurant would be excellent for hosting the company party.","In my opinion, the new restaurant would be excellent for hosting the company party."
Because they will be able to learn and compare with the place in their country .,Because they will be able to learn and compare the place with their country .,Since the new software will help improve efficiency and contrast to the outdated systems in their offices.,Since the new software will help improve efficiency and contrast to the outdated systems in their offices.,Since the new software will help improve efficiency and contrast to the outdated systems in their offices.,Since the new software will help improve efficiency and contrast to the outdated systems in their offices.,"Since the new software will help improve efficiency in contrast to the outdated systems in their offices, it should be adopted."
"As Wales is not modern like America , so the students will probably get the idea of looking back to the old things .","As Wales is not modern like America , the students will probably get an interest in looking at old things .","As the restaurant was not fancy like the upscale hotel, so the customers will probably get the idea of wanting more affordable prices.","As the restaurant was not fancy like the upscale hotel, customers will probably get the idea of wanting more affordable prices.","As the restaurant was not fancy like the upscale hotel, so the customers will probably get the idea of wanting more affordable prices.","As the restaurant is not fancy like the upscale hotel, so the customers will probably get the idea of wanting more affordable prices.","As the restaurant was not fancy like the upscale hotel, customers will probably get the idea of wanting more affordable prices."
Dear Mrs Maria Smith .,"Dear Mrs Maria Smith ,",Hello Mr. James Johnson. I hope this email finds you well.,"Hello Mr. James Johnson, I hope this email finds you well.","Hello, Mr. James Johnson. I hope this email finds you well.",Hello Mr. James Johnson. I hope this email finds you well.,Hello Mr. James Johnson. I hope this email finds you well.
I was really pleased to receive at your letter .,I was really pleased to receive your letter .,I was really grateful to receive at your invitation to the wedding.,I was really grateful to receive your invitation to the wedding.,I was really grateful to receive your invitation to the wedding.,I was really grateful to receive your invitation to the wedding.,I was really grateful to receive your invitation to the wedding.
"So , I 'm writting to reply for giving all the information you asked for .","So , I 'm writing to reply to give all the information you asked for .",She is planing to attent the meeting next week.,She is planning to attend the meeting next week.,She is planning to attend the meeting next week.,She is planning to attend the meeting next week.,She is planning to attend the meeting next week.
The best way to get from the hotel to the conference its using tube because it takes only 20 mininute .,The best way to get from the hotel to the conference is using the tube because it takes only 20 minutes .,The most effective method for solving these problems are using advanced software tools.,The most effective method for solving these problems is using advanced software tools.,The most effective method for solving these problems is using advanced software tools.,The most effective method for solving these problems is using advanced software tools.,The most effective method for solving these problems is using advanced software tools.
The tube is 2 line which is red colour .,The tube is line 2 which is red .,The restaurant have three kitchen which is famous for their cuisine.,The restaurant has three kitchens which are famous for their cuisine.,The restaurant has three kitchens which are famous for their cuisine.,The restaurant has three kitchens which is famous for their cuisine.,The restaurant has three kitchens which are famous for their cuisine.
And your speach would be better for the end of conference party .,And your speech would be better for the end of conference party .,The chef's recepie for chocolate cake was featured in the local newspaper.,The chef's recipe for chocolate cake was featured in the local newspaper.,The chef's recipe for chocolate cake was featured in the local newspaper.,The chef's recipe for chocolate cake was featured in the local newspaper.,The chef's recipe for chocolate cake was featured in the local newspaper.
"I 'd suggest you to wear at least , semi formal wears such as a jacket with another clothes .","I 'd suggest you wear at least , semi - formal clothes such as a jacket with other clothes .",She would prefer you to bring at least some formal furnitures such as a table with another equipments.,She would prefer you to bring at least some formal furniture such as a table with other equipments.,"She would prefer you to bring at least some formal furniture, such as a table with other equipment.",She would prefer you to bring at least some formal furniture such as a table with other equipment.,She would prefer you to bring at least some formal furniture such as a table with other equipment.
"Finally , I give you some suggestions which could spend for about 3 hours in the national museum in my area .","Finally , I give you some suggestions which could spend for about 3 hours in the national museum in my area .",Let me give you some recommendations which could last for about 2 hours at the botanical garden near our house.,Let me give you some recommendations which could last for about 2 hours at the botanical garden near our house.,Let me give you some suggestions which could last for about 2 hours at the botanical garden near our house.,Let me give you some recommendations which could last for about 2 hours at the botanical garden near our house.,Let me give you some recommendations for activities which could last about 2 hours at the botanical garden near our house.
Computer is the most important invention in our life .,The computer is the most important invention in our life .,Medicine are the most valuable discovery in human history.,Medicine is the most valuable discovery in human history.,Medicine is the most valuable discovery in human history.,Medicine is the most valuable discovery in human history.,Medicine is the most valuable discovery in human history.
Some people might say the electricity more important than another thingh .,Some people might say electricity is more important than other another thing .,Many students think homework more difficult than other subject.,Many students think homework is more difficult than other subjects.,Many students think homework is more difficult than other subjects.,Many students think homework more difficult than other subjects.,Many students think homework more difficult than other subjects.
"However , I 'd say computer is more amazing invention rather than another inventions such as the telephone , the car .","However , I 'd say the computer is a more amazing invention rather than other inventions such as the telephone , the car .","Yet, I would argue that internet is more useful invention rather than other innovations such as the television, the airplane.","Yet, I would argue that the internet is a more useful invention than other innovations such as the television, the airplane.","Yet, I would argue that the internet is a more useful invention rather than other innovations such as the television and the airplane.","Yet, I would argue that internet is more useful invention rather than other innovations such as the television, the airplane.","Yet, I would argue that the internet is a more useful invention than other innovations such as television and the airplane."
Recently computer is really necessary and we ca n't manage to work without them .,Recently the computer has become really necessary and we ca n't manage to work without them .,Recently the students in my class has been working very hard on their project.,"Recently, the students in my class have been working very hard on their project.","Recently, the students in my class have been working very hard on their project.",Recently the students in my class have been working very hard on their project.,Recently the students in my class have been working very hard on their project.
"Not only is for bussiness , but also in for my life .","Not only for bussiness , but also in my life .","Not only is for entertainment, but also in for my education purposes.","Not only is it for entertainment, but also for my education purposes.",Not only is it for entertainment but also for my education purposes.,"Not only is for entertainment, but also for education purposes.","It is not only for entertainment, but also for my education purposes."
"For instance , when I want to contanct with to my friend , it 's quite helpful by using e - mail .","For instance , when I want to contact my friend , it 's quite helpful to use e - mail .","For example, when I need to communicate with to my colleague, it's quite efficient by sending a message.","For example, when I need to communicate with my colleague, it's quite efficient by sending a message.","For example, when I need to communicate with my colleague, it's quite efficient by sending a message.","For example, when I need to communicate with my colleague, it's quite efficient by sending a message.","For example, when I need to communicate with my colleague, it's quite efficient to send a message."
"Before computer had been invented , we could n't possibly have lots of information easily and we could n't contact with to foreign countries at the same time .","Before the computer had been invented , we could n't possibly have lots of information easily and we could n't contact foreign countries at the same time .","Before the telephone had been invented, people were unable to communicate across long distances quickly and they could not share information with distant relatives in real time.","Before the telephone had been invented, people were unable to communicate across long distances quickly and they could not share information with distant relatives in real time.","Before the telephone was invented, people were unable to communicate across long distances quickly, and they could not share information with distant relatives in real time.","Before the telephone had been invented, people were unable to communicate across long distances quickly and they could not share information with distant relatives in real time.","Before the telephone was invented, people were unable to communicate across long distances quickly and could not share information with distant relatives in real time."
"And also it 's time to make new system which makes us use easier and more simple , so far more people can enjoy computer more than before .","And also it 's time to make new systems which makes use easier and more simple , so far more people can enjoy computers than before .","It is necessary to develop new policies that makes the education more accessible and more affordable, so that more students can benefit from schooling than in the past.","It is necessary to develop new policies that make the education more accessible and more affordable, so that more students can benefit from schooling than in the past.",It is necessary to develop new policies that make education more accessible and more affordable so that more students can benefit from schooling than in the past.,"It is necessary to develop new policies that make the education more accessible and more affordable, so that more students can benefit from schooling than in the past.","It is necessary to develop new policies that make education more accessible and more affordable, so that more students can benefit from schooling than in the past."
"Despite amazing invention , some times computer makes big problem , such as millennium bug ( some people called "" 2000 problem "" ) , because computer not flexible enough like a human 's brain .","Despite Being an amazing invention , sometimes the computer causes a big problem , such as the millennium bug ( some people called the it "" 2000 problem "" ) , because computers are not flexible enough like a human 's brain .","Despite remarkable technological advances, social media sometimes creates serious problems, such as cyberbullying and misinformation, because the internet not secure enough like a professional security system.","Despite remarkable technological advances, social media sometimes creates serious problems, such as cyberbullying and misinformation, because the internet is not secure enough like a professional security system.","Despite remarkable technological advances, social media sometimes creates serious problems, such as cyberbullying and misinformation, because the internet is not secure enough like a professional security system.","Despite remarkable technological advances, social media sometimes creates serious problems, such as cyberbullying and misinformation, because the internet is not secure enough like a professional security system.","Despite remarkable technological advances, social media sometimes creates serious problems, such as cyberbullying and misinformation, because the internet is not secure enough like a professional security system."
"However , computer is worth to use in our life until more coveniance machine will be invented .","However , the computer is worth using in our life until a more convenient machine is invented .",Internet are important to learn in our society until better technology will be developed.,Internet are important to learn in our society until better technology will be developed.,The Internet is important to learn in our society until better technology will be developed.,Internet is important to learn in our society until better technology will be developed.,The internet is important to learn in our society until better technology is developed.
"So we 've decided at the end - of - conference party , we will have a buffet and a disco party .",So we 've decided at the end - of - conference party we will have a buffet and a disco party .,So we've decided at the company meeting - we will serve pizza and organize a games tournament.,So we've decided at the company meeting - we will serve pizza and organize a games tournament.,So we've decided at the company meeting - we will serve pizza and organize a games tournament.,So we've decided at the company meeting - we will serve pizza and organize a games tournament.,So we've decided at the company meeting that we will serve pizza and organize a games tournament.
"Our students , then will get to know each other well .",Our students then will get to know each other well .,"The employees, therefore will complete their projects on time.","The employees, therefore, will complete their projects on time.","Therefore, the employees will complete their projects on time.","The employees, therefore, will complete their projects on time.","The employees, therefore, will complete their projects on time."
I would suggest everybody to wear a casual dresses .,I would suggest everybody wear casual dress .,She bought the new furniture for her living room yesterday.,She bought the new furniture for her living room yesterday.,She bought new furniture for her living room yesterday.,She bought the new furniture for her living room yesterday.,She bought new furniture for her living room yesterday.
"Finally , I would recommend you and your group to enjoy shopping and sightseeing around Oxford Street and nearby .","Finally , I would recommend you and your group try shopping and sightseeing around Oxford Street and nearby .",We encourage all students in participate in the annual science fair next month.,We encourage all students to participate in the annual science fair next month.,We encourage all students to participate in the annual science fair next month.,We encourage all students to participate in the annual science fair next month.,We encourage all students to participate in the annual science fair next month.
I look forward to see you and your group soon .,I look forward to seeing you and your group soon .,My parents are looking forward to attend my graduation ceremony in June.,My parents are looking forward to attending my graduation ceremony in June.,My parents are looking forward to attending my graduation ceremony in June.,My parents are looking forward to attending my graduation ceremony in June.,My parents are looking forward to attending my graduation ceremony in June.
"Your Sincerely ,","Yours Sincerely ,","We look forward to hearing from you soon , Yours truly","We look forward to hearing from you soon , Yours truly.",We look forward to hearing from you soon. Yours truly,"We look forward to hearing from you soon, Yours truly.","We look forward to hearing from you soon. Yours truly,"
As you requested which is the interesting building to visit . I would strongly recommend the Barbican Centre building in the city .,"As you asked which is the most interesting building to visit , I would strongly recommend the Barbican Centre building in the city .","The project was completed ahead of schedule , we were able to deliver it on time.",The project was completed ahead of schedule and we were able to deliver it on time.,The project was completed ahead of schedule; we were able to deliver it on time.,"The project was completed ahead of schedule, we were able to deliver it on time.","The project was completed ahead of schedule, so we were able to deliver it on time."
It located in the city and the nearest tube station is Moorgate Station .,It is located in the city and the nearest tube station is Moorgate Station .,The new shopping mall located near the highway and it have many stores.,The new shopping mall is located near the highway and it has many stores.,"The new shopping mall is located near the highway, and it has many stores.",The new shopping mall is located near the highway and it has many stores.,The new shopping mall is located near the highway and it has many stores.
The Barbican Centre built in 1975 .,The Barbican Centre was built in 1975 .,The new museum opened in 1990 and attracted thousands of visitors every month.,The new museum opened in 1990 and attracted thousands of visitors every month.,The new museum opened in 1990 and attracted thousands of visitors every month.,The new museum opened in 1990 and attracted thousands of visitors every month.,The new museum opened in 1990 and attracted thousands of visitors every month.
"There are also world stock market exchange , an opera theatre , shopping arcades , books and records stores .","There are also the world stock - market exchange , an opera theatre , shopping arcades , book books and record stores .","The festival features live music performances, a food court, local craft vendors, and community center for gatherings.","The festival features live music performances, a food court, local craft vendors, and a community center for gatherings.","The festival features live music performances, a food court, local craft vendors, and a community center for gatherings.","The festival features live music performances, a food court, local craft vendors, and community centers for gatherings.","The festival features live music performances, a food court, local craft vendors, and a community center for gatherings."
It also held an internation exhibition all year round .,It also holds an international exhibition all year round .,The company launched an revolutionar product that changed the entire industry landscape.,The company launched an revolutionary product that changed the entire industry landscape.,The company launched a revolutionary product that changed the entire industry landscape.,The company launched a revolutionary product that changed the entire industry landscape.,The company launched a revolutionary product that changed the entire industry landscape.
"Recently , the exhibition of africa just finished .","Recently , the African exhibition just finished .",The students visited a museum of history last week.,The students visited a museum of history last week.,The students visited a museum of history last week.,The students visited a museum of history last week.,The students visited a history museum last week.
The opening time starts from 7.30 AM . till late at night when the theatre is closed .,It is open from 7.30 AM . till late at night when the theatre closes .,The train departs from 6.00 AM . until early evening when the station closes for maintenance .,The train departs from 6.00 AM until early evening when the station closes for maintenance.,The train departs from 6.00 AM until early evening when the station closes for maintenance.,The train departs from 6.00 AM until early evening when the station closes for maintenance.,The train departs from 6:00 AM until early evening when the station closes for maintenance.
The building is huge with high technology and construction and a tight security .,The building is huge with modern technology and construction and tight security .,The restaurant features excellent food with friendly staff and a comfortable atmosphere and reasonable prices.,"The restaurant features excellent food with friendly staff, a comfortable atmosphere and reasonable prices.",The restaurant features excellent food with friendly staff and a comfortable atmosphere and reasonable prices.,"The restaurant features excellent food with friendly staff, a comfortable atmosphere and reasonable prices.","The restaurant features excellent food, friendly staff, a comfortable atmosphere, and reasonable prices."
It upgraded the building every year .,It is upgraded the building every year .,She bought a car and parked it near hospital.,She bought a car and parked it near the hospital.,She bought a car and parked it near the hospital.,She bought a car and parked it near the hospital.,She bought a car and parked it near the hospital.
You and your group will visit one building which has so many places in this building .,You and your group will visit one building which has very many places in this building .,He attended the conference which had many speakers from the conference.,"He attended the conference, which had many speakers from the conference.","He attended the conference, which had many speakers from the conference.",He attended the conference which had many speakers from the conference.,"He attended the conference, which had many speakers."
So that you can spend your time in one go .,So you can spend your time in one go .,We finished early and could leave work. So that nobody would complain about the schedule.,We finished early and could leave work so that nobody would complain about the schedule.,We finished early and could leave work. So nobody would complain about the schedule.,We finished early and could leave work so that nobody would complain about the schedule.,We finished early and could leave work so that nobody would complain about the schedule.
Dear Mrs Maria Smith,Dear Mrs Smith,Dear Professor Johnson and Mr. Williams thank you for meeting with us yesterday.,Dear Professor Johnson and Mr. Williams thank you for meeting with us yesterday.,"Dear Professor Johnson and Mr. Williams, thank you for meeting with us yesterday.",Dear Professor Johnson and Mr. Williams thank you for meeting with us yesterday.,"Dear Professor Johnson and Mr. Williams, thank you for meeting with us yesterday."
Thank you for your letter which arrived me this morning .,Thank you for your letter which arrived this morning .,"The package was delivered to me last week, but the invoice reached me at the office.","The package was delivered to me last week, but the invoice reached me at the office.","The package was delivered to me last week, but the invoice did not reach me at the office.","The package was delivered to me last week, but the invoice reached me at the office.","The package was delivered to me last week, but the invoice reached me at the office."
"Of course it is a pity that Mr. Brown has been ill , but we are happy that you are comeing now .","Of course it is a pity that Mr. Brown has been ill , but we are happy that you are coming now .",We are looking forward to recieving your feedback on the proposal by next Friday.,We are looking forward to receiving your feedback on the proposal by next Friday.,We are looking forward to recieving your feedback on the proposal by next Friday.,We are looking forward to receiving your feedback on the proposal by next Friday.,We are looking forward to receiving your feedback on the proposal by next Friday.
You asked me which hotel the group had been booked .,You asked me which hotel the group had been booked into .,She wondered what time the meeting had been scheduled .,She wondered what time the meeting had been scheduled.,She wondered what time the meeting had been scheduled.,She wondered what time the meeting had been scheduled.,She wondered what time the meeting had been scheduled.
"It is the Palace hotel , about a mile away where the conference will take place .","It is the Palace Hotel , about a mile away from where the conference will take place .","It is the new restaurant, across the street where we will have dinner together.",It is the new restaurant across the street where we will have dinner together.,It is the new restaurant across the street where we will have dinner together.,"It is the new restaurant, across the street where we will have dinner together.",It is the new restaurant across the street where we will have dinner together.
"The best way to get there , is to take the bus number 7 .",The best way to get there is to take the number 7 bus .,"The fastest way to solve the problem , is to contact the technical support team.",The fastest way to solve the problem is to contact the technical support team.,The fastest way to solve the problem is to contact the technical support team.,The fastest way to solve the problem is to contact the technical support team.,The fastest way to solve the problem is to contact the technical support team.
"You will leave the bus at , , Royal gardens "" .","You will get off the bus at "" Royal Gardens "" .","She bought groceries at , , Maple supermarket "" yesterday afternoon.","She bought groceries at , , Maple supermarket yesterday afternoon.",She bought groceries at the Maple supermarket yesterday afternoon.,"She bought groceries at , , Maple supermarket "" yesterday afternoon.",She bought groceries at Maple supermarket yesterday afternoon.
"Turn left and go straight to , , Baker street "" At the need of this street there is the house number 18 .","Turn left and go straight along "" Baker Street "" . At the end of this street there is a house , number 18 .","Walk right and procede to , , Main avenue "" At the begining of this avenue you will find the museum.","Walk right and proceed to Main avenue. "" At the beginning of this avenue you will find the museum.","Walk right and proceed to , , Main avenue. "" At the beginning of this avenue, you will find the museum.",At the beginning of this avenue you will find the museum.,Walk right and proceed to Main Avenue. At the beginning of this avenue you will find the museum.
"You wish to know all about , , the end - of - conference party .",You wish to know all about the end - of - conference party .,"They are intrested in , , the mid-summer festival celebration "" next month.","They are interested in the mid-summer festival celebration "" next month.","They are interested in , , the mid-summer festival celebration "" next month.","They are interested in , , the mid-summer festival celebration "" next month.",They are interested in the mid-summer festival celebration next month.
As far as I can see there will be only a little dinner and a group of young singers will surprise us by their songs .,"As far as I can see , there will be only a little dinner and a group of young singers will surprise us with their songs .",She bought a new furniture for her apartment last week.,She bought new furniture for her apartment last week.,She bought new furniture for her apartment last week.,She bought new furniture for her apartment last week.,She bought new furniture for her apartment last week.
Moreover you asked what to wear . Do not bother .,Moreover you asked what to wear . Do not worry .,The weather was beautiful we decided to go for a long walk in the park.,The weather was beautiful and we decided to go for a long walk in the park.,"The weather was beautiful, so we decided to go for a long walk in the park.",The weather was beautiful so we decided to go for a long walk in the park.,"The weather was beautiful, so we decided to go for a long walk in the park."
"I would recommend you wearing some casual clothes , like a jeans , a blouse or a skirt and a jacket .","I would recommend you wear some casual clothes , like jeans , a blouse or a skirt and a jacket .",He prefers to drink a coffees in the morning before starting his work.,He prefers to drink coffee in the morning before starting his work.,He prefers to drink a coffee in the morning before starting his work.,He prefers to drink coffee in the morning before starting his work.,He prefers to drink coffee in the morning before starting his work.
"Donnot forget to wear a pair of comfortable shoes , because you will not have chance to change it .","Do not forget to wear a pair of comfortable shoes , because you will not have the chance to change them .",Donot worry about the weather because it will not affect your plans.,Do not worry about the weather because it will not affect your plans.,Do not worry about the weather because it will not affect your plans.,Do not worry about the weather because it will not affect your plans.,Do not worry about the weather because it will not affect your plans.
Finally I give you some advise for what you could do for about three hours .,Finally I will give you some advice about what you could do for about three hours .,He offered me several feedbacks about my performance during the presentation.,He offered me several feedbacks about my performance during the presentation.,He offered me several feedback about my performance during the presentation.,He offered me several feedbacks about my performance during the presentation.,He offered me several pieces of feedback about my performance during the presentation.
"Firstly we have a nice and interesting museum , it is located near the hotel .","Firstly , we have a nice interesting museum , it is located near the hotel .","Yesterday we visited a beautiful park, it had many colorful flowers and tall trees.","Yesterday we visited a beautiful park, it had many colorful flowers and tall trees.",Yesterday we visited a beautiful park; it had many colorful flowers and tall trees.,"Yesterday we visited a beautiful park, it had many colorful flowers and tall trees.",Yesterday we visited a beautiful park that had many colorful flowers and tall trees.
"Furthemore there is the zoo with a lot of different animals , located to walk within five minutes .","Also , there is the zoo with a lot of different animals , located within five minutes ' walk .","Occassionally there is the library with a lot of different books, located to study within ten minutes.","Occasionally there is the library with a lot of different books, located to study within ten minutes.","Sometimes there is the library with a lot of different books, located to study within ten minutes.","Occassionally there is the library with a lot of different books, located to study within ten minutes.",Occasionally there is a library with a lot of different books located within ten minutes to study in.
"Lastly there is also a very old and famous church , with many coloured windows .","Lastly , there is also a very old and famous church , with many coloured windows .","Finally there is also a very modern and prestigious building, with many coloured doors.","Finally, there is also a very modern and prestigious building, with many coloured doors.","Finally, there is also a very modern and prestigious building, with many colored doors.","Finally there is also a very modern and prestigious building, with many coloured doors.","Finally, there is also a very modern and prestigious building with many colored doors."
For further information please call me up . I hope you will have an interesting conference here .,"For further information , please call me . I hope you will have an interesting conference here .",For further details please ring me up. I hope you will have a productive meeting here.,For further details please ring me up. I hope you will have a productive meeting here.,"For further details, please ring me up. I hope you will have a productive meeting here.",For further details please ring me up. I hope you will have a productive meeting here.,"For further details, please ring me up. I hope you will have a productive meeting here."
I am looking forward seeing you,I am looking forward to seeing you .,My brother insisted on join the military after graduation.,My brother insisted on joining the military after graduation.,My brother insisted on joining the military after graduation.,My brother insisted on joining the military after graduation.,My brother insisted on joining the military after graduation.
The telephone a very important invention,The telephone : a very important invention .,The internet a crucial tool for modern communication.,The internet is a crucial tool for modern communication.,The internet is a crucial tool for modern communication.,The internet is a crucial tool for modern communication.,The internet is a crucial tool for modern communication.
In my early childhood my mother said to me that when she has been a litte girl there has been only one telephone in the house where she had lived .,In my early childhood my mother said to me that when she was a little girl there was only one telephone in the building where she lived .,In my teenage years my father told me that when he was a young boy there had been only one car in the neighborhood where he lives.,"In my teenage years, my father told me that when he was a young boy, there had been only one car in the neighborhood where he lives.","In my teenage years, my father told me that when he was a young boy, there had been only one car in the neighborhood where he lived.",In my teenage years my father told me that when he was a young boy there had been only one car in the neighborhood where he lived.,"In my teenage years, my father told me that when he was a young boy, there had been only one car in the neighborhood where he lived."
It has been in her parents ' appartement .,It was in her parents ' apartment .,We spent our vacation at my uncle's résidence in the countryside.,We spent our vacation at my uncle's residence in the countryside.,We spent our vacation at my uncle's residence in the countryside.,We spent our vacation at my uncle's residence in the countryside.,We spent our vacation at my uncle's residence in the countryside.
The neighbours had come into to make their calls and to get their calls .,The neighbours came to make their calls and to get their calls .,The students went up up to the rooftop to play basketball after school.,The students went up to the rooftop to play basketball after school.,The students went up to the rooftop to play basketball after school.,The students went up to the rooftop to play basketball after school.,The students went up to the rooftop to play basketball after school.
Todays nobody could imagine such a situation .,Today nobody could imagine such a situation .,Yesterdays weather was much colder than todays temperature in the city.,Yesterday's weather was much colder than today's temperature in the city.,Yesterday's weather was much colder than today's temperature in the city.,Yesterdays weather was much colder than todays temperature in the city.,Yesterday's weather was much colder than today's temperature in the city.
In every household there is a telephone at least .,In every household there is one telephone at least .,In every classroom there is a student who arrives late always.,"In every classroom, there is a student who arrives late always.","In every classroom, there is a student who always arrives late.",In every classroom there is a student who arrives late always.,In every classroom there is a student who always arrives late.
There are a lot of advantages for it .,There are a lot of advantages to it .,There are many reasons about why children enjoy playing video games.,There are many reasons why children enjoy playing video games.,There are many reasons why children enjoy playing video games.,There are many reasons why children enjoy playing video games.,There are many reasons why children enjoy playing video games.
Firstly people are able to talk to person on every time . Be it : just for fun or also to discuss some important and relevant thins .,"Firstly , people are able to talk to a person at any time , be it just for fun or to discuss some important and relevant things .","Firstly, students are able to learn about different culturs from around the world.","Firstly, students are able to learn about different cultures from around the world.","Firstly, students are able to learn about different cultures from around the world.","Firstly, students are able to learn about different cultures from around the world.","Firstly, students are able to learn about different cultures from around the world."
"Moreover we always can call for help to the police , to the hospital or to a doctor .","Moreover we can always call the police , the hospital or a doctor for help .",Quickly we always can understand the instructions when they are written clearly.,"Quickly, we always can understand the instructions when they are written clearly.","Quickly, we always can understand the instructions when they are written clearly.",Quickly we always understand the instructions when they are written clearly.,We can always understand the instructions quickly when they are written clearly.
This could save life !,This could save your life !,This decision could change future for millions of people.,This decision could change the future for millions of people.,This decision could change the future for millions of people.,This decision could change the future for millions of people.,This decision could change the future for millions of people.
"An other advantage is that all offices , firms and industries could not further exist without it .","Another advantage is that all offices , firms and industries could not exist without it .",An other reason why students struggle is because they lack proper motivation.,Another reason why students struggle is because they lack proper motivation.,An other reason why students struggle is because they lack proper motivation.,Another reason why students struggle is because they lack proper motivation.,Another reason why students struggle is because they lack proper motivation.
"All people know this situation ; people want not to be interrupted , maybe they are reading a book , having a good talk or are having a little sleep ... then the telephone rings ... !","All people know this situation : people want not to be interrupted , maybe they are reading a book , having a good talk or are having a little sleep ... then the telephone rings ... !","The students completed their assignment ; they did not want to submit it late , maybe they were nervous about the grade , worried about their performance or was uncertain about the quality ... then the teacher collected the papers ... !","The students completed their assignment ; they did not want to submit it late , maybe they were nervous about the grade , worried about their performance or was uncertain about the quality ... then the teacher collected the papers ... !","The students completed their assignment ; they did not want to submit it late; maybe they were nervous about the grade, worried about their performance, or uncertain about the quality ... then the teacher collected the papers ... !","The students completed their assignment ; they did not want to submit it late , maybe they were nervous about the grade , worried about their performance or was uncertain about the quality ... then the teacher collected the papers ... !","The students completed their assignment; they did not want to submit it late, maybe they were nervous about the grade, worried about their performance, or uncertain about the quality. Then the teacher collected the papers."
It is not an easy desicion how to react now .,It is not an easy decision how to react now .,It is not an easy recomendation to choose between the two job offers.,It is not an easy recommendation to choose between the two job offers.,It is not an easy recommendation to choose between the two job offers.,It is not an easy recommendation to choose between the two job offers.,It is not an easy recommendation to choose between the two job offers.
Another point of disadvantage is that the mobile phones are ringing . everywhere and on every time .,Another point of disadvantage is that mobile phones are ringing everywhere and all the time .,Another problem with the new policy is that employees are complaining . at everywhere and on every moment .,Another problem with the new policy is that employees are complaining . at everywhere and every moment .,Another problem with the new policy is that employees are complaining . everywhere and at every moment .,Another problem with the new policy is that employees are complaining at everywhere and at every moment.,Another problem with the new policy is that employees are complaining everywhere and at every moment.
